PRINT-SPACINGS

/data/ryle/CYGNUSX1-990913/s15


 CYGNUSX1-990913  centred on  CYGNUS-X1                                         
 Merge of all spacings from AE 1-5/1-5                                          
 Samples From:    1   ST: 17.40.08   UT: 18.10   LSF buffer:    1               
           To: 1788   ST: 21.59.44   UT: 22.29   LSF buffer: 1788               

 Modified Julian date 51434.00  at 0h on 13 Sep 99

      ST         UT        cos            sin            amp        phase
18.23.36   18.54.17    0.16759E-01   -0.14442E-01    0.22123E-01    -40.8
18.23.44   18.54.25   -0.94001E-02   -0.10496E-01    0.14090E-01   -131.8
18.23.52   18.54.33    0.80355E-02   -0.54037E-02    0.96834E-02    -33.9
18.24.00   18.54.41    0.27854E-01    0.62734E-03    0.27861E-01      1.3
18.24.08   18.54.49    0.58143E-02   -0.12935E-01    0.14182E-01    -65.8
18.24.16   18.54.57   -0.69526E-02   -0.37606E-02    0.79045E-02   -151.6
18.24.24   18.55.05    0.21862E-01   -0.10550E-02    0.21887E-01     -2.8
18.24.32   18.55.13    0.12217E-01   -0.14939E-01    0.19298E-01    -50.7
18.24.40   18.55.21    0.23335E-02    0.74587E-02    0.78152E-02     72.6
18.24.48   18.55.29   -0.44004E-02   -0.99846E-02    0.10911E-01   -113.8
18.24.56   18.55.37   -0.15442E-01    0.20349E-01    0.25545E-01    127.2
18.25.04   18.55.45   -0.89093E-03    0.15989E-01    0.16014E-01     93.2
18.25.12   18.55.53   -0.78403E-02   -0.44341E-02    0.90073E-02   -150.5
18.25.20   18.56.01    0.14079E-01    0.74018E-02    0.15906E-01     27.7
18.25.28   18.56.09    0.15990E-01    0.50706E-02    0.16775E-01     17.6
18.25.36   18.56.17    0.11466E-01   -0.12267E-01    0.16791E-01    -46.9
18.25.44   18.56.25   -0.31225E-02    0.27744E-03    0.31348E-02    174.9
18.25.52   18.56.33    0.14642E-01   -0.65780E-02    0.16052E-01    -24.2
18.26.00   18.56.41    0.20239E-02   -0.13260E-02    0.24196E-02    -33.2
18.26.08   18.56.49    0.14365E-01   -0.13545E-01    0.19744E-01    -43.3
18.26.16   18.56.57    0.46684E-02    0.12281E-01    0.13139E-01     69.2
18.26.24   18.57.05    0.15694E-01    0.83297E-03    0.15716E-01      3.0
18.26.32   18.57.13    0.24131E-02    0.13422E-01    0.13637E-01     79.8
18.26.40   18.57.21   -0.49518E-02   -0.83380E-02    0.96975E-02   -120.7
18.26.48   18.57.29   -0.54777E-02   -0.57760E-02    0.79603E-02   -133.5
18.26.56   18.57.37    0.40742E-03    0.65433E-03    0.77080E-03     58.1
18.27.04   18.57.45    0.48049E-02    0.59131E-02    0.76192E-02     50.9
18.27.12   18.57.53    0.13553E-01   -0.22830E-01    0.26549E-01    -59.3
18.27.20   18.58.01   -0.40854E-02   -0.83270E-02    0.92752E-02   -116.1
18.27.28   18.58.09    0.14268E-01    0.13297E-02    0.14330E-01      5.3
18.27.36   18.58.17   -0.18029E-02   -0.35155E-02    0.39509E-02   -117.2
18.27.44   18.58.25   -0.13136E-01    0.11440E-01    0.17419E-01    138.9
18.27.52   18.58.33    0.23429E-03   -0.12225E-01    0.12227E-01    -88.9
18.28.00   18.58.41   -0.30453E-02   -0.43555E-02    0.53145E-02   -125.0
18.28.08   18.58.49    0.78375E-02   -0.18895E-02    0.80621E-02    -13.6
18.28.16   18.58.57    0.20411E-01   -0.16521E-02    0.20478E-01     -4.6
18.28.24   18.59.05    0.60139E-03   -0.13743E-01    0.13756E-01    -87.5
18.28.32   18.59.13    0.64356E-02    0.61273E-02    0.88860E-02     43.6
18.28.40   18.59.21   -0.25541E-02   -0.30604E-02    0.39861E-02   -129.8
18.28.48   18.59.29   -0.20088E-01   -0.14946E-01    0.25039E-01   -143.3
18.28.56   18.59.37   -0.72622E-02   -0.16999E-01    0.18485E-01   -113.1
18.29.04   18.59.45    0.39626E-02   -0.62003E-02    0.73583E-02    -57.4
18.29.12   18.59.52   -0.67552E-02    0.12957E-01    0.14613E-01    117.5
18.29.20   19.00.00   -0.12402E-01   -0.10234E-01    0.16080E-01   -140.5
18.29.28   19.00.08    0.75308E-02   -0.15107E-01    0.16880E-01    -63.5
18.29.36   19.00.16   -0.67429E-02   -0.36929E-02    0.76879E-02   -151.3
18.29.44   19.00.24    0.10918E-01   -0.95738E-02    0.14521E-01    -41.2
18.29.52   19.00.32    0.34114E-02   -0.82605E-02    0.89372E-02    -67.6
18.30.00   19.00.40   -0.97138E-02   -0.35328E-02    0.10336E-01   -160.0
18.30.08   19.00.48   -0.76090E-02    0.15399E-01    0.17176E-01    116.3
18.30.16   19.00.56    0.97968E-02    0.17417E-01    0.19983E-01     60.6
18.30.24   19.01.04    0.59032E-02   -0.26013E-01    0.26674E-01    -77.2
18.30.32   19.01.12   -0.78578E-02   -0.43193E-02    0.89666E-02   -151.2
18.30.40   19.01.20   -0.17502E-01    0.21497E-02    0.17634E-01    173.0
18.30.48   19.01.28   -0.11145E-01   -0.15475E-01    0.19071E-01   -125.8
18.30.56   19.01.36    0.69578E-02   -0.42688E-03    0.69709E-02     -3.5
18.31.04   19.01.44    0.20522E-01   -0.28722E-01    0.35301E-01    -54.5
18.31.12   19.01.52    0.39919E-02    0.10019E-01    0.10785E-01     68.3
18.31.20   19.02.00   -0.27335E-01    0.13432E-01    0.30456E-01    153.8
18.31.28   19.02.08    0.21750E-01   -0.14354E-03    0.21751E-01     -0.4
18.31.36   19.02.16    0.18265E-02   -0.42635E-02    0.46382E-02    -66.8
18.31.44   19.02.24   -0.16226E-01   -0.22783E-01    0.27970E-01   -125.5
18.31.52   19.02.32   -0.14068E-02   -0.35334E-02    0.38032E-02   -111.7
18.32.00   19.02.40   -0.13938E-01    0.80681E-02    0.16105E-01    149.9
18.32.08   19.02.48   -0.72721E-03    0.29113E-02    0.30007E-02    104.0
18.32.16   19.02.56    0.94947E-02   -0.22858E-02    0.97660E-02    -13.5
18.32.24   19.03.04    0.63468E-02   -0.65462E-02    0.91178E-02    -45.9
18.32.32   19.03.12   -0.34708E-02   -0.34682E-02    0.49066E-02   -135.0
18.32.40   19.03.20    0.45164E-03   -0.18560E-01    0.18565E-01    -88.6
18.32.48   19.03.28   -0.12091E-03    0.45445E-02    0.45461E-02     91.5
18.32.56   19.03.36    0.27079E-02   -0.12241E-01    0.12537E-01    -77.5
18.33.04   19.03.44    0.17378E-01   -0.99702E-02    0.20035E-01    -29.8
18.33.12   19.03.52    0.85825E-02   -0.17043E-01    0.19082E-01    -63.3
18.33.20   19.04.00    0.11487E-01    0.27328E-03    0.11491E-01      1.4
18.33.28   19.04.08    0.11662E-01    0.83618E-02    0.14350E-01     35.6
18.33.36   19.04.16    0.21058E-01    0.76138E-02    0.22392E-01     19.9
18.33.44   19.04.24    0.11131E-01    0.16249E-02    0.11249E-01      8.3
18.33.52   19.04.32    0.15702E-01    0.74119E-04    0.15703E-01      0.3
18.34.00   19.04.40    0.41864E-02   -0.13361E-01    0.14002E-01    -72.6
18.34.08   19.04.48    0.88117E-03   -0.63536E-02    0.64144E-02    -82.1
18.34.16   19.04.56    0.55062E-02   -0.37007E-02    0.66343E-02    -33.9
18.34.24   19.05.04   -0.47393E-02    0.82915E-02    0.95503E-02    119.8
18.34.32   19.05.12   -0.45435E-02   -0.28129E-02    0.53438E-02   -148.2
18.34.40   19.05.20    0.95089E-02   -0.77938E-03    0.95408E-02     -4.7
18.34.48   19.05.28    0.18392E-01   -0.10987E-01    0.21424E-01    -30.9
18.34.56   19.05.36    0.26960E-03   -0.19556E-01    0.19558E-01    -89.2
18.35.04   19.05.44   -0.78253E-02   -0.14947E-01    0.16871E-01   -117.6
18.35.12   19.05.52    0.73950E-02   -0.76175E-02    0.10617E-01    -45.8
18.35.20   19.05.59    0.18201E-01    0.18874E-01    0.26220E-01     46.0
18.35.28   19.06.07    0.85267E-02   -0.33444E-02    0.91591E-02    -21.4
18.35.36   19.06.15   -0.46027E-02    0.91223E-02    0.10218E-01    116.8
18.35.44   19.06.23    0.25303E-01    0.84705E-02    0.26684E-01     18.5
18.35.52   19.06.31    0.98403E-03    0.19070E-03    0.10023E-02     11.0
18.36.00   19.06.39   -0.11280E-01   -0.97307E-02    0.14897E-01   -139.2
18.38.48   19.09.27         0.             0.             0.          0.0
18.38.56   19.09.35         0.             0.             0.          0.0
18.39.04   19.09.43         0.             0.             0.          0.0
18.39.12   19.09.51         0.             0.             0.          0.0
18.39.20   19.09.59   -0.15280E-02   -0.16496E-01    0.16567E-01    -95.3
18.39.28   19.10.07   -0.31052E-02    0.36653E-02    0.48038E-02    130.3
18.39.36   19.10.15    0.74217E-02   -0.88030E-02    0.11514E-01    -49.9
18.39.44   19.10.23    0.14472E-01   -0.11590E-01    0.18541E-01    -38.7
18.39.52   19.10.31   -0.16239E-02   -0.11790E-01    0.11901E-01    -97.8
18.40.00   19.10.39    0.16706E-01    0.59573E-02    0.17736E-01     19.6
18.40.08   19.10.47   -0.50264E-02    0.70008E-02    0.86183E-02    125.7
18.40.16   19.10.55    0.14151E-01    0.22549E-02    0.14329E-01      9.1
18.40.24   19.11.03    0.18183E-01   -0.18872E-02    0.18280E-01     -5.9
18.40.32   19.11.11   -0.42139E-02   -0.31969E-02    0.52893E-02   -142.8
18.40.40   19.11.19    0.10897E-03   -0.12058E-02    0.12107E-02    -84.8
18.40.48   19.11.27   -0.36494E-02    0.92521E-02    0.99458E-02    111.5
18.40.56   19.11.35   -0.41499E-02    0.56206E-02    0.69867E-02    126.4
18.41.04   19.11.43    0.25431E-01    0.12058E-01    0.28145E-01     25.4
18.41.12   19.11.51   -0.97977E-02   -0.85569E-02    0.13008E-01   -138.9
18.41.20   19.11.58    0.18466E-01    0.50823E-02    0.19153E-01     15.4
18.41.28   19.12.06    0.12755E-01    0.13220E-01    0.18370E-01     46.0
18.41.36   19.12.14    0.16976E-01   -0.25292E-02    0.17163E-01     -8.5
18.41.44   19.12.22    0.99892E-02    0.12228E-01    0.15790E-01     50.8
18.41.52   19.12.30    0.15368E-01   -0.28307E-02    0.15627E-01    -10.4
18.42.00   19.12.38    0.13557E-01    0.18441E-01    0.22888E-01     53.7
18.42.08   19.12.46    0.32882E-02   -0.34960E-02    0.47994E-02    -46.8
18.42.16   19.12.54    0.24268E-01   -0.12230E-01    0.27176E-01    -26.7
18.42.24   19.13.02    0.20252E-01   -0.65267E-02    0.21278E-01    -17.9
18.42.32   19.13.10    0.79782E-02   -0.16553E-01    0.18376E-01    -64.3
18.42.40   19.13.18    0.12674E-01    0.27113E-03    0.12676E-01      1.2
18.42.48   19.13.26    0.98894E-02    0.12365E-01    0.15834E-01     51.3
18.42.56   19.13.34    0.21220E-01   -0.19477E-02    0.21309E-01     -5.2
18.43.04   19.13.42   -0.44298E-03    0.18583E-01    0.18588E-01     91.4
18.43.12   19.13.50    0.23818E-01    0.48083E-02    0.24299E-01     11.4
18.43.20   19.13.58    0.39241E-02    0.81986E-02    0.90893E-02     64.4
18.43.28   19.14.06    0.10151E-01    0.65411E-03    0.10172E-01      3.7
18.43.36   19.14.14    0.46755E-02   -0.65085E-02    0.80138E-02    -54.3
18.43.44   19.14.22    0.19546E-01    0.56012E-05    0.19546E-01      0.0
18.43.52   19.14.30    0.90008E-02    0.47135E-02    0.10160E-01     27.6
18.44.00   19.14.38    0.17926E-01   -0.14529E-02    0.17984E-01     -4.6
18.44.08   19.14.46    0.38392E-02    0.21220E-02    0.43866E-02     28.9
18.44.16   19.14.54    0.37985E-02    0.44854E-02    0.58777E-02     49.7
18.44.24   19.15.02   -0.80563E-02    0.10323E-01    0.13095E-01    128.0
18.44.32   19.15.10   -0.52490E-02   -0.12489E-02    0.53956E-02   -166.6
18.44.40   19.15.18    0.77244E-02    0.12691E-01    0.14857E-01     58.7
18.44.48   19.15.26    0.58181E-02   -0.13151E-01    0.14381E-01    -66.1
18.44.56   19.15.34    0.28063E-02    0.81152E-02    0.85867E-02     70.9
18.45.04   19.15.42    0.11082E-01   -0.31847E-02    0.11531E-01    -16.0
18.45.12   19.15.50   -0.27961E-02   -0.14017E-04    0.27961E-02   -179.7
18.45.20   19.15.58    0.19581E-01    0.65258E-02    0.20639E-01     18.4
18.45.28   19.16.06    0.15277E-01   -0.46814E-02    0.15978E-01    -17.0
18.45.36   19.16.14    0.61318E-02    0.57864E-02    0.84309E-02     43.3
18.45.44   19.16.22   -0.21268E-02    0.10062E-03    0.21292E-02    177.3
18.45.52   19.16.30    0.13754E-01    0.55470E-02    0.14830E-01     22.0
18.46.00   19.16.38    0.15523E-01   -0.26791E-02    0.15752E-01     -9.8
18.46.08   19.16.46    0.93014E-02    0.82813E-02    0.12454E-01     41.7
18.46.16   19.16.54    0.14023E-01    0.16085E-01    0.21339E-01     48.9
18.46.24   19.17.02    0.10423E-01   -0.55129E-04    0.10424E-01     -0.3
18.46.32   19.17.10    0.32595E-02    0.64163E-03    0.33221E-02     11.1
18.46.40   19.17.18    0.24933E-01   -0.66842E-02    0.25814E-01    -15.0
18.46.48   19.17.26    0.18449E-01    0.17098E-01    0.25154E-01     42.8
18.46.56   19.17.34   -0.14082E-01    0.10982E-02    0.14125E-01    175.5
18.47.04   19.17.42    0.16048E-01   -0.62072E-02    0.17207E-01    -21.1
18.47.12   19.17.50   -0.17062E-01    0.14794E-02    0.17126E-01    175.0
18.47.20   19.17.58    0.12751E-02    0.15590E-01    0.15642E-01     85.3
18.47.28   19.18.05    0.47053E-02    0.52755E-02    0.70690E-02     48.3
18.47.36   19.18.13   -0.19729E-01    0.78546E-02    0.21235E-01    158.3
18.47.44   19.18.21    0.18138E-01    0.93710E-02    0.20416E-01     27.3
18.47.52   19.18.29    0.13610E-01    0.26935E-02    0.13874E-01     11.2
18.48.00   19.18.37    0.26757E-01   -0.89293E-02    0.28208E-01    -18.5
18.48.08   19.18.45    0.15678E-01    0.92232E-02    0.18190E-01     30.5
18.48.16   19.18.53   -0.11391E-01    0.24076E-02    0.11643E-01    168.1
18.48.24   19.19.01   -0.37446E-03    0.13873E-01    0.13878E-01     91.5
18.48.32   19.19.09    0.57184E-02    0.77577E-02    0.96375E-02     53.6
18.48.40   19.19.17    0.87060E-02    0.37440E-02    0.94769E-02     23.3
18.48.48   19.19.25    0.25413E-02   -0.11712E-02    0.27982E-02    -24.7
18.48.56   19.19.33    0.26731E-01   -0.15985E-01    0.31146E-01    -30.9
18.49.04   19.19.41    0.20629E-01    0.82485E-02    0.22217E-01     21.8
18.49.12   19.19.49    0.20923E-01    0.12121E-03    0.20923E-01      0.3
18.49.20   19.19.57   -0.64256E-02    0.92553E-02    0.11267E-01    124.8
18.49.28   19.20.05   -0.16797E-02    0.12275E-02    0.20805E-02    143.8
18.49.36   19.20.13    0.39292E-02   -0.23300E-02    0.45681E-02    -30.7
18.49.44   19.20.21    0.32363E-02   -0.10437E-01    0.10927E-01    -72.8
18.49.52   19.20.29    0.21323E-01   -0.14418E-01    0.25740E-01    -34.1
18.50.00   19.20.37    0.11225E-02    0.60797E-02    0.61824E-02     79.5
18.50.08   19.20.45    0.16547E-01   -0.55007E-02    0.17437E-01    -18.4
18.50.16   19.20.53   -0.85264E-02    0.19776E-01    0.21536E-01    113.3
18.50.24   19.21.01   -0.42285E-02    0.11182E-01    0.11955E-01    110.7
18.50.32   19.21.09    0.10451E-01    0.20039E-02    0.10642E-01     10.9
18.50.40   19.21.17    0.51963E-02   -0.11342E-01    0.12476E-01    -65.4
18.50.48   19.21.25   -0.71171E-02   -0.25223E-02    0.75508E-02   -160.5
18.50.56   19.21.33    0.40826E-02   -0.64279E-02    0.76148E-02    -57.6
18.51.04   19.21.41   -0.31415E-02   -0.27331E-02    0.41640E-02   -139.0
18.51.12   19.21.49    0.32966E-02    0.12002E-01    0.12446E-01     74.6
18.51.20   19.21.57    0.11095E-01   -0.11867E-03    0.11096E-01     -0.6
18.51.28   19.22.05    0.29648E-02    0.11707E-01    0.12076E-01     75.8
18.51.36   19.22.13    0.88308E-02   -0.67811E-03    0.88568E-02     -4.4
18.51.44   19.22.21   -0.59223E-03   -0.42902E-03    0.73129E-03   -144.1
18.51.52   19.22.29    0.31724E-02   -0.75597E-02    0.81984E-02    -67.2
18.52.00   19.22.37   -0.14630E-02   -0.15337E-01    0.15407E-01    -95.4
18.52.08   19.22.45    0.24121E-01    0.12738E-01    0.27278E-01     27.8
18.52.16   19.22.53    0.36496E-02   -0.30193E-04    0.36497E-02     -0.5
18.52.24   19.23.01    0.34993E-03   -0.29517E-02    0.29723E-02    -83.2
18.52.32   19.23.09    0.17106E-01   -0.30742E-03    0.17109E-01     -1.0
18.52.40   19.23.17   -0.42654E-02   -0.12099E-02    0.44337E-02   -164.2
18.52.48   19.23.25    0.99954E-02    0.45250E-03    0.10006E-01      2.6
18.52.56   19.23.33    0.84537E-02   -0.31001E-02    0.90042E-02    -20.1
18.53.04   19.23.41   -0.26385E-02    0.80544E-02    0.84755E-02    108.1
18.53.12   19.23.49   -0.45597E-02    0.25843E-02    0.52411E-02    150.5
18.53.20   19.23.57    0.14838E-01   -0.41489E-02    0.15407E-01    -15.6
18.53.28   19.24.05   -0.31390E-02    0.73650E-02    0.80060E-02    113.1
18.53.36   19.24.12    0.22247E-01    0.13666E-01    0.26109E-01     31.6
18.53.44   19.24.20   -0.54916E-02    0.81379E-02    0.98175E-02    124.0
18.53.52   19.24.28    0.19381E-01    0.14325E-01    0.24101E-01     36.5
18.54.00   19.24.36   -0.13139E-01   -0.80332E-02    0.15401E-01   -148.6
18.54.08   19.24.44    0.41316E-02    0.29338E-02    0.50673E-02     35.4
18.54.16   19.24.52   -0.75079E-02    0.17449E-01    0.18995E-01    113.3
18.54.24   19.25.00    0.10762E-01   -0.11764E-01    0.15945E-01    -47.5
18.54.32   19.25.08   -0.15928E-01    0.25328E-01    0.29920E-01    122.2
18.54.40   19.25.16    0.15006E-02   -0.10025E-01    0.10136E-01    -81.5
18.54.48   19.25.24   -0.88750E-02    0.49268E-02    0.10151E-01    151.0
18.54.56   19.25.32    0.50453E-02    0.77116E-02    0.92154E-02     56.8
18.55.04   19.25.40    0.17494E-01   -0.38248E-02    0.17907E-01    -12.3
18.55.12   19.25.48    0.19766E-01   -0.13378E-01    0.23868E-01    -34.1
18.55.20   19.25.56    0.25042E-02    0.45776E-02    0.52178E-02     61.3
18.55.28   19.26.04   -0.25173E-02   -0.92718E-02    0.96074E-02   -105.2
18.55.36   19.26.12    0.11097E-01   -0.95180E-02    0.14619E-01    -40.6
18.55.44   19.26.20    0.77332E-02   -0.27883E-02    0.82205E-02    -19.8
18.55.52   19.26.28   -0.72925E-02    0.23123E-02    0.76503E-02    162.4
18.56.00   19.26.36    0.15807E-01    0.27274E-02    0.16041E-01      9.8
18.56.08   19.26.44   -0.85567E-02    0.44645E-02    0.96514E-02    152.4
18.56.16   19.26.52    0.11483E-01    0.71754E-03    0.11506E-01      3.6
18.56.24   19.27.00    0.65104E-02   -0.10428E-01    0.12294E-01    -58.0
18.56.32   19.27.08   -0.22474E-02    0.18619E-01    0.18754E-01     96.9
18.56.40   19.27.16    0.15614E-01    0.55154E-02    0.16560E-01     19.5
18.56.48   19.27.24    0.58359E-02   -0.22923E-01    0.23654E-01    -75.7
18.56.56   19.27.32    0.39658E-02    0.18060E-02    0.43576E-02     24.5
18.57.04   19.27.40    0.10158E-01   -0.25372E-02    0.10470E-01    -14.0
18.57.12   19.27.48    0.83768E-02    0.57216E-03    0.83963E-02      3.9
18.57.20   19.27.56    0.83990E-02   -0.23246E-02    0.87147E-02    -15.5
18.57.28   19.28.04    0.17860E-02    0.55222E-02    0.58038E-02     72.1
18.57.36   19.28.12    0.25706E-02    0.23681E-03    0.25815E-02      5.3
18.57.44   19.28.20   -0.25368E-02    0.18670E-02    0.31498E-02    143.6
18.57.52   19.28.28    0.48748E-02    0.44418E-02    0.65949E-02     42.3
18.58.00   19.28.36    0.20657E-01    0.51202E-02    0.21282E-01     13.9
18.58.08   19.28.44    0.65804E-03   -0.73414E-03    0.98589E-03    -48.1
18.58.16   19.28.52    0.23322E-02    0.35346E-02    0.42347E-02     56.6
18.58.24   19.29.00    0.20300E-01   -0.48008E-02    0.20860E-01    -13.3
18.58.32   19.29.08   -0.55628E-02   -0.15513E-01    0.16480E-01   -109.7
18.58.40   19.29.16    0.10755E-01   -0.88219E-02    0.13910E-01    -39.4
18.58.48   19.29.24    0.21181E-01   -0.72657E-02    0.22392E-01    -18.9
18.58.56   19.29.32   -0.23266E-04   -0.17024E-01    0.17024E-01    -90.1
18.59.04   19.29.40    0.21151E-01    0.52393E-02    0.21790E-01     13.9
18.59.12   19.29.48    0.22259E-01    0.76466E-02    0.23535E-01     19.0
18.59.20   19.29.56    0.16518E-01    0.13107E-02    0.16570E-01      4.5
18.59.28   19.30.04    0.13431E-01   -0.59695E-02    0.14698E-01    -24.0
18.59.36   19.30.12    0.15618E-01    0.11675E-02    0.15661E-01      4.3
18.59.44   19.30.19    0.14541E-02   -0.38541E-02    0.41193E-02    -69.3
18.59.52   19.30.27    0.89381E-02   -0.39476E-03    0.89468E-02     -2.5
19.00.00   19.30.35    0.82607E-02   -0.10950E-01    0.13716E-01    -53.0
19.00.08   19.30.43    0.11138E-01    0.49565E-02    0.12191E-01     24.0
19.00.16   19.30.51   -0.75848E-02    0.20951E-02    0.78688E-02    164.6
19.00.24   19.30.59    0.20656E-01    0.51237E-02    0.21282E-01     13.9
19.00.32   19.31.07    0.74003E-02   -0.89445E-02    0.11609E-01    -50.4
19.00.40   19.31.15   -0.58103E-02    0.12437E-02    0.59420E-02    167.9
19.00.48   19.31.23    0.28305E-02    0.11105E-01    0.11460E-01     75.7
19.00.56   19.31.31   -0.58951E-02    0.85678E-02    0.10400E-01    124.5
19.01.04   19.31.39    0.16342E-01   -0.79917E-02    0.18192E-01    -26.1
19.01.12   19.31.47   -0.18835E-01    0.15005E-01    0.24081E-01    141.5
19.01.20   19.31.55    0.44206E-02    0.18176E-01    0.18706E-01     76.3
19.01.28   19.32.03    0.66989E-02    0.30149E-02    0.73461E-02     24.2
19.01.36   19.32.11    0.69798E-02   -0.95883E-02    0.11860E-01    -53.9
19.01.44   19.32.19   -0.11231E-03   -0.70123E-02    0.70132E-02    -90.9
19.01.52   19.32.27    0.15037E-01    0.43812E-03    0.15043E-01      1.7
19.02.00   19.32.35    0.18248E-01    0.27387E-02    0.18453E-01      8.5
19.02.08   19.32.43    0.30112E-02    0.95586E-02    0.10022E-01     72.5
19.02.16   19.32.51    0.12545E-01   -0.57721E-02    0.13809E-01    -24.7
19.02.24   19.32.59   -0.50598E-03    0.88864E-02    0.89008E-02     93.3
19.02.32   19.33.07    0.66182E-02   -0.13733E-01    0.15245E-01    -64.3
19.02.40   19.33.15   -0.10737E-01    0.75539E-02    0.13128E-01    144.9
19.02.48   19.33.23   -0.10829E-01    0.49683E-02    0.11914E-01    155.4
19.02.56   19.33.31   -0.62994E-02   -0.13328E-02    0.64388E-02   -168.1
19.03.04   19.33.39    0.55653E-02   -0.19209E-02    0.58875E-02    -19.0
19.03.12   19.33.47    0.15922E-01    0.21773E-01    0.26973E-01     53.8
19.03.20   19.33.55   -0.56067E-02   -0.11624E-01    0.12906E-01   -115.7
19.03.28   19.34.03    0.11294E-01   -0.54923E-02    0.12558E-01    -25.9
19.03.36   19.34.11    0.20999E-02    0.51495E-03    0.21621E-02     13.8
19.03.44   19.34.19   -0.11390E-01    0.74415E-02    0.13605E-01    146.8
19.03.52   19.34.27    0.15311E-02   -0.11712E-01    0.11812E-01    -82.6
19.04.00   19.34.35    0.12253E-01    0.23153E-02    0.12470E-01     10.7
19.04.08   19.34.43    0.83368E-02   -0.14964E-01    0.17130E-01    -60.9
19.04.16   19.34.51    0.76619E-02   -0.71002E-02    0.10446E-01    -42.8
19.04.24   19.34.59    0.77592E-02   -0.37210E-02    0.86053E-02    -25.6
19.04.32   19.35.07    0.85189E-02    0.15052E-02    0.86509E-02     10.0
19.04.40   19.35.15    0.22502E-01   -0.16587E-01    0.27955E-01    -36.4
19.04.48   19.35.23    0.24272E-01    0.22741E-02    0.24378E-01      5.4
19.04.56   19.35.31    0.40702E-02   -0.13879E-01    0.14463E-01    -73.7
19.05.04   19.35.39    0.15633E-01    0.12219E-01    0.19842E-01     38.0
19.05.12   19.35.47    0.11790E-01   -0.59481E-02    0.13205E-01    -26.8
19.05.20   19.35.55    0.15035E-01    0.81750E-03    0.15057E-01      3.1
19.08.08   19.38.42         0.             0.             0.          0.0
19.08.16   19.38.50         0.             0.             0.          0.0
19.08.24   19.38.58         0.             0.             0.          0.0
19.08.32   19.39.06         0.             0.             0.          0.0
19.08.40   19.39.14         0.             0.             0.          0.0
19.08.48   19.39.22    0.15747E-01   -0.36876E-02    0.16173E-01    -13.2
19.08.56   19.39.30    0.92242E-02    0.81226E-02    0.12291E-01     41.4
19.09.04   19.39.38   -0.72378E-02   -0.15908E-01    0.17477E-01   -114.5
19.09.12   19.39.46    0.17683E-01    0.53105E-02    0.18463E-01     16.7
19.09.20   19.39.54    0.21856E-01   -0.20383E-01    0.29885E-01    -43.0
19.09.28   19.40.02    0.17472E-01    0.16410E-01    0.23969E-01     43.2
19.09.36   19.40.10    0.58637E-02   -0.70758E-02    0.91896E-02    -50.4
19.09.44   19.40.18    0.17386E-01    0.15630E-02    0.17456E-01      5.1
19.09.52   19.40.26    0.13355E-02    0.11456E-01    0.11534E-01     83.4
19.10.00   19.40.34   -0.98485E-02    0.28622E-02    0.10256E-01    163.8
19.10.08   19.40.42   -0.13214E-01   -0.32864E-03    0.13218E-01   -178.6
19.10.16   19.40.50    0.65379E-02    0.12010E-01    0.13675E-01     61.4
19.10.24   19.40.58    0.27663E-01   -0.16093E-01    0.32003E-01    -30.2
19.10.32   19.41.06    0.18704E-02    0.12281E-01    0.12422E-01     81.3
19.10.40   19.41.14    0.71432E-02    0.66550E-03    0.71742E-02      5.3
19.10.48   19.41.22    0.82474E-02    0.89679E-03    0.82960E-02      6.2
19.10.56   19.41.30    0.70854E-03    0.54218E-02    0.54680E-02     82.6
19.11.04   19.41.38    0.48811E-03   -0.54159E-02    0.54379E-02    -84.9
19.11.12   19.41.46    0.15083E-01   -0.76792E-02    0.16925E-01    -27.0
19.11.20   19.41.54   -0.90190E-02    0.97143E-02    0.13256E-01    132.9
19.11.28   19.42.02    0.13402E-01   -0.15481E-02    0.13491E-01     -6.6
19.11.36   19.42.10   -0.23628E-02    0.77483E-02    0.81006E-02    107.0
19.11.44   19.42.18    0.26870E-02   -0.11315E-01    0.11629E-01    -76.6
19.11.52   19.42.25   -0.46461E-03    0.10110E-01    0.10120E-01     92.6
19.12.00   19.42.33    0.43742E-02   -0.82732E-02    0.93584E-02    -62.1
19.12.08   19.42.41    0.18496E-02    0.11390E-01    0.11540E-01     80.8
19.12.16   19.42.49    0.58649E-02    0.40703E-02    0.71390E-02     34.8
19.12.24   19.42.57   -0.10265E-02   -0.46196E-02    0.47322E-02   -102.5
19.12.32   19.43.05    0.36985E-02    0.20501E-01    0.20832E-01     79.8
19.12.40   19.43.13    0.13161E-02   -0.19454E-02    0.23488E-02    -55.9
19.12.48   19.43.21    0.12399E-01    0.11970E-01    0.17234E-01     44.0
19.12.56   19.43.29    0.23390E-01    0.12408E-01    0.26477E-01     27.9
19.13.04   19.43.37   -0.13917E-02   -0.13223E-01    0.13296E-01    -96.0
19.13.12   19.43.45    0.14238E-01   -0.24459E-01    0.28301E-01    -59.8
19.13.20   19.43.53    0.11496E-01   -0.14065E-01    0.18166E-01    -50.7
19.13.28   19.44.01   -0.16812E-01    0.44803E-02    0.17398E-01    165.1
19.13.36   19.44.09    0.11406E-01    0.11474E-01    0.16178E-01     45.2
19.13.44   19.44.17    0.28772E-01   -0.88691E-02    0.30108E-01    -17.1
