PRINT-SPACINGS

/data/ryle/CYGNUSX1-990913/s15


 CYGNUSX1-990913  centred on  CYGNUS-X1                                         
 Merge of all spacings from AE 1-5/1-5                                          
 Samples From:    1   ST: 17.40.08   UT: 18.10   LSF buffer:    1               
           To: 1788   ST: 21.59.44   UT: 22.29   LSF buffer: 1788               

 Modified Julian date 51434.00  at 0h on 13 Sep 99

      ST         UT        cos            sin            amp        phase
17.49.44   18.20.31    0.14829E-01   -0.44972E-02    0.15496E-01    -16.9
17.49.52   18.20.39    0.16016E-01   -0.60496E-02    0.17120E-01    -20.7
17.50.00   18.20.47   -0.42030E-02    0.10060E-01    0.10903E-01    112.7
17.50.08   18.20.55   -0.17786E-01   -0.17565E-01    0.24997E-01   -135.4
17.50.16   18.21.03    0.18141E-01    0.18109E-01    0.25633E-01     45.0
17.50.24   18.21.11    0.14545E-01    0.10292E-01    0.17818E-01     35.3
17.50.32   18.21.19    0.41225E-02    0.28242E-02    0.49971E-02     34.4
17.50.40   18.21.27    0.49375E-02   -0.14577E-01    0.15391E-01    -71.3
17.50.48   18.21.35    0.20420E-01   -0.10225E-01    0.22837E-01    -26.6
17.50.56   18.21.43    0.26215E-01   -0.18248E-01    0.31941E-01    -34.8
17.51.04   18.21.51   -0.32069E-02    0.66250E-02    0.73603E-02    115.8
17.51.12   18.21.59   -0.32569E-02    0.26564E-01    0.26763E-01     97.0
17.51.20   18.22.07    0.10598E-01   -0.16180E-01    0.19342E-01    -56.8
17.51.28   18.22.15   -0.68795E-03   -0.16965E-01    0.16979E-01    -92.3
17.51.36   18.22.23    0.16964E-01    0.61272E-02    0.18036E-01     19.9
17.51.44   18.22.31   -0.12297E-01    0.59920E-02    0.13679E-01    154.0
17.51.52   18.22.39    0.56457E-02    0.49740E-02    0.75243E-02     41.4
17.52.00   18.22.47    0.84680E-04    0.11211E-01    0.11212E-01     89.6
17.52.08   18.22.55    0.43721E-02    0.95169E-03    0.44745E-02     12.3
17.52.16   18.23.03    0.12992E-01    0.40860E-02    0.13619E-01     17.5
17.52.24   18.23.11    0.49015E-02   -0.66303E-05    0.49015E-02     -0.1
